route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"103",1548_PO,1548_1759,"Lesisko",,0,PO_103-01_10,946747,0,0
"103",1549_PO,1549_1725,"Lesisko",,0,PO_103-01_10,948377,0,0
"103",1548_PO,1548_1763,"Aleja Przyjaźni",,1,PO_103-01_11,946746,0,0
"103",1549_PO,1549_1729,"Aleja Przyjaźni",,1,PO_103-01_11,948376,0,0
"103",1548_PO,1548_1767,"Lesisko",,0,PO_103-01_12,946747,0,0
"103",1549_PO,1549_1733,"Lesisko",,0,PO_103-01_12,948377,0,0
"103",1548_PO,1548_1771,"Aleja Przyjaźni",,1,PO_103-01_13,946746,0,0
"103",1549_PO,1549_1737,"Aleja Przyjaźni",,1,PO_103-01_13,948376,0,0
"103",1548_PO,1548_1775,"Lesisko",,0,PO_103-01_14,946747,0,0
"103",1549_PO,1549_1741,"Lesisko",,0,PO_103-01_14,948377,0,0
"103",1548_PO,1548_1780,"Aleja Przyjaźni",,1,PO_103-01_15,946746,0,0
"103",1549_PO,1549_1745,"Aleja Przyjaźni",,1,PO_103-01_15,948376,0,0
"103",1548_PO,1548_1784,"Lesisko",,0,PO_103-01_16,946747,0,0
"103",1549_PO,1549_1749,"Lesisko",,0,PO_103-01_16,948377,0,0
"103",1548_PO,1548_1788,"Aleja Przyjaźni",,1,PO_103-01_17,946746,0,0
"103",1549_PO,1549_1753,"Aleja Przyjaźni",,1,PO_103-01_17,948376,0,0
"103",1548_PO,1548_1792,"Lesisko",,0,PO_103-01_18,946747,0,0
"103",1549_PO,1549_1757,"Lesisko",,0,PO_103-01_18,948377,0,0
"103",1548_PO,1548_1797,"Aleja Przyjaźni",,1,PO_103-01_19,946746,0,0
"103",1549_PO,1549_1761,"Aleja Przyjaźni",,1,PO_103-01_19,948376,0,0
"103",1548_PO,1548_1802,"Lesisko",,0,PO_103-01_20,946747,0,0
"103",1549_PO,1549_1765,"Lesisko",,0,PO_103-01_20,948377,0,0
"103",1548_PO,1548_1804,"Aleja Przyjaźni",,1,PO_103-01_21,946746,0,0
"103",1549_PO,1549_1769,"Aleja Przyjaźni",,1,PO_103-01_21,948376,0,0
"103",1548_PO,1548_1809,"Lesisko",,0,PO_103-01_22,946747,0,0
"103",1549_PO,1549_1773,"Lesisko",,0,PO_103-01_22,948377,0,0
"103",1548_PO,1548_1814,"Aleja Przyjaźni",,1,PO_103-01_23,946746,0,0
"103",1549_PO,1549_1777,"Aleja Przyjaźni",,1,PO_103-01_23,948376,0,0
"103",1548_PO,1548_1815,"Lesisko",,0,PO_103-01_24,946747,0,0
"103",1549_PO,1549_1781,"Lesisko",,0,PO_103-01_24,948377,0,0
"103",1548_PO,1548_1819,"Aleja Przyjaźni",,1,PO_103-01_25,946746,0,0
"103",1549_PO,1549_1785,"Aleja Przyjaźni",,1,PO_103-01_25,948376,0,0
"103",1548_PO,1548_1825,"Lesisko",,0,PO_103-01_26,946747,0,0
"103",1549_PO,1549_1789,"Lesisko",,0,PO_103-01_26,948377,0,0
"103",1548_PO,1548_1830,"Aleja Przyjaźni",,1,PO_103-01_27,946746,0,0
"103",1549_PO,1549_1793,"Aleja Przyjaźni",,1,PO_103-01_27,948376,0,0
"103",1548_PO,1548_1831,"Lesisko",,0,PO_103-01_28,946747,0,0
"103",1549_PO,1549_1797,"Lesisko",,0,PO_103-01_28,948377,0,0
"103",1548_PO,1548_1835,"Aleja Przyjaźni",,1,PO_103-01_29,946746,0,0
"103",1549_PO,1549_1801,"Aleja Przyjaźni",,1,PO_103-01_29,948376,0,0
"103",1548_PO,1548_1839,"Lesisko",,0,PO_103-01_30,946747,0,0
"103",1549_PO,1549_1805,"Lesisko",,0,PO_103-01_30,948377,0,0
"103",1548_PO,1548_1843,"Aleja Przyjaźni",,1,PO_103-01_31,946746,0,0
"103",1549_PO,1549_1809,"Aleja Przyjaźni",,1,PO_103-01_31,948376,0,0
"103",1548_PO,1548_1586,"Lesisko",,0,PO_103-02_2,946747,0,0
"103",1549_PO,1549_1553,"Lesisko",,0,PO_103-02_2,948377,0,0
"103",1548_PO,1548_1590,"Aleja Przyjaźni",,1,PO_103-02_3,946746,0,0
"103",1549_PO,1549_1557,"Aleja Przyjaźni",,1,PO_103-02_3,948376,0,0
"103",1548_PO,1548_1594,"Lesisko",,0,PO_103-02_4,946747,0,0
"103",1549_PO,1549_1561,"Lesisko",,0,PO_103-02_4,948377,0,0
"103",1548_PO,1548_1598,"Aleja Przyjaźni",,1,PO_103-02_5,946746,0,0
"103",1549_PO,1549_1565,"Aleja Przyjaźni",,1,PO_103-02_5,948376,0,0
"103",1548_PO,1548_1602,"Lesisko",,0,PO_103-02_6,946747,0,0
"103",1549_PO,1549_1569,"Lesisko",,0,PO_103-02_6,948377,0,0
"103",1548_PO,1548_1606,"Aleja Przyjaźni",,1,PO_103-02_7,946746,0,0
"103",1549_PO,1549_1573,"Aleja Przyjaźni",,1,PO_103-02_7,948376,0,0
"103",1548_PO,1548_1610,"Lesisko",,0,PO_103-02_8,946747,0,0
"103",1549_PO,1549_1577,"Lesisko",,0,PO_103-02_8,948377,0,0
"103",1548_PO,1548_1614,"Aleja Przyjaźni",,1,PO_103-02_9,946746,0,0
"103",1549_PO,1549_1581,"Aleja Przyjaźni",,1,PO_103-02_9,948376,0,0
"103",1548_PO,1548_1618,"Lesisko",,0,PO_103-02_10,946747,0,0
"103",1549_PO,1549_1585,"Lesisko",,0,PO_103-02_10,948377,0,0
